"Name"|"Symbol"|"Type"|"Locus"|"OMIM"
"SOS Ras/Rho guanine nucleotide exchange factor 2"|"SOS2"|"gene with protein product"|"14q21.3"|601247
"semaphorin 5A"|"SEMA5A"|"gene with protein product"|"5p15.31"|609297
"catenin delta 2"|"CTNND2"|"gene with protein product"|"5p15.2"|604275
"hydroxysteroid 17-beta dehydrogenase 3"|"HSD17B3"|"gene with protein product"|"9q22.32"|605573
"hypoxanthine phosphoribosyltransferase 1"|"HPRT1"|"gene with protein product"|"Xq26.2-q26.3"|308000
"cyclin dependent kinase inhibitor 2A"|"CDKN2A"|"gene with protein product"|"9p21.3"|600160
"MDM2 proto-oncogene"|"MDM2"|"gene with protein product"|"12q15"|164785
"tumor protein p53"|"TP53"|"gene with protein product"|"17p13.1"|191170
"checkpoint kinase 2"|"CHEK2"|"gene with protein product"|"22q12.1"|604373
"peripheral myelin protein 22"|"PMP22"|"gene with protein product"|"17p12"|601097
"KIT ligand"|"KITLG"|"gene with protein product"|"12q21.32"|184745
"tyrosinase"|"TYR"|"gene with protein product"|"11q14.3"|606933
"snail family transcriptional repressor 2"|"SNAI2"|"gene with protein product"|"8q11.21"|602150
"melanocyte inducing transcription factor"|"MITF"|"gene with protein product"|"3p13"|156845
"endothelin receptor type B"|"EDNRB"|"gene with protein product"|"13q22.3"|131244
"paired box 3"|"PAX3"|"gene with protein product"|"2q36.1"|606597
"spalt like transcription factor 1"|"SALL1"|"gene with protein product"|"16q12.1"|602218
"dishevelled binding antagonist of beta catenin 1"|"DACT1"|"gene with protein product"|"14q23.1"|607861
"heparan sulfate proteoglycan 2"|"HSPG2"|"gene with protein product"|"1p36.12"|142461
"myosin heavy chain 11"|"MYH11"|"gene with protein product"|"16p13.11"|160745
"solute carrier family 26 member 2"|"SLC26A2"|"gene with protein product"|"5q32"|606718
"calcium voltage-gated channel subunit alpha1 S"|"CACNA1S"|"gene with protein product"|"1q32.1"|114208
"potassium voltage-gated channel subfamily E regulatory subunit 3"|"KCNE3"|"gene with protein product"|"11q13.4"|604433
"SIX homeobox 1"|"SIX1"|"gene with protein product"|"14q23.1"|601205
"EYA transcriptional coactivator and phosphatase 1"|"EYA1"|"gene with protein product"|"8q13.3"|601653
"SIX homeobox 5"|"SIX5"|"gene with protein product"|"19q13.32"|600963
"activin A receptor like type 1"|"ACVRL1"|"gene with protein product"|"12q13.13"|601284
"SMAD family member 4"|"SMAD4"|"gene with protein product"|"18q21.2"|600993
"endoglin"|"ENG"|"gene with protein product"|"9q34.11"|131195
"growth differentiation factor 2"|"GDF2"|"gene with protein product"|"10q11.22"|605120
"fibroblast growth factor receptor 2"|"FGFR2"|"gene with protein product"|"10q26.13"|176943
"twist family bHLH transcription factor 1"|"TWIST1"|"gene with protein product"|"7p21.1"|601622
"serine/threonine kinase 11"|"STK11"|"gene with protein product"|"19p13.3"|602216
"dopamine receptor D3"|"DRD3"|"gene with protein product"|"3q13.31"|126451
"leucine rich repeat and Ig domain containing 1"|"LINGO1"|"gene with protein product"|"15q24.3"|609791
"teneurin transmembrane protein 4"|"TENM4"|"gene with protein product"|"11q14.1"|610084
"brain derived neurotrophic factor"|"BDNF"|"gene with protein product"|"11p14.1"|113505
"WT1 transcription factor"|"WT1"|"gene with protein product"|"11p13"|607102
"paired box 6"|"PAX6"|"gene with protein product"|"11p13"|607108
"peroxisomal biogenesis factor 11 beta"|"PEX11B"|"gene with protein product"|"1q21.1"|603867
"peroxisomal biogenesis factor 2"|"PEX2"|"gene with protein product"|"8q21.13"|170993
"peroxisomal biogenesis factor 1"|"PEX1"|"gene with protein product"|"7q21.2"|602136
"peroxisomal biogenesis factor 10"|"PEX10"|"gene with protein product"|"1p36.32"|602859
"peroxisomal biogenesis factor 12"|"PEX12"|"gene with protein product"|"17q12"|601758
"peroxisomal biogenesis factor 13"|"PEX13"|"gene with protein product"|"2p15"|601789
"peroxisomal biogenesis factor 14"|"PEX14"|"gene with protein product"|"1p36.22"|601791
"peroxisomal biogenesis factor 16"|"PEX16"|"gene with protein product"|"11p11.2"|603360
"peroxisomal biogenesis factor 19"|"PEX19"|"gene with protein product"|"1q23.2"|600279
"peroxisomal biogenesis factor 26"|"PEX26"|"gene with protein product"|"22q11.21"|608666
"peroxisomal biogenesis factor 3"|"PEX3"|"gene with protein product"|"6q24.2"|603164
"peroxisomal biogenesis factor 5"|"PEX5"|"gene with protein product"|"12p13.31"|600414
"peroxisomal biogenesis factor 6"|"PEX6"|"gene with protein product"|"6p21.1"|601498
"chloride voltage-gated channel 7"|"CLCN7"|"gene with protein product"|"16p13.3"|602727
"microsomal triglyceride transfer protein"|"MTTP"|"gene with protein product"|"4q23"|157147
"lysosomal trafficking regulator"|"LYST"|"gene with protein product"|"1q42.3"|606897
"ETS2 repressor factor"|"ERF"|"gene with protein product"|"19q13.2"|611888
"phosphatase and tensin homolog"|"PTEN"|"gene with protein product"|"10q23.31"|601728
"upstream transcription factor family member 3"|"USF3"|"gene with protein product"|"3q13.2"|617568
"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"|"PIK3CA"|"gene with protein product"|"3q26.32"|171834
"succinate dehydrogenase complex iron sulfur subunit B"|"SDHB"|"gene with protein product"|"1p36.13"|185470
"succinate dehydrogenase complex subunit D"|"SDHD"|"gene with protein product"|"11q23.1"|602690
"succinate dehydrogenase complex subunit C"|"SDHC"|"gene with protein product"|"1q23.3"|602413
"SEC23 homolog B, COPII coat complex component"|"SEC23B"|"gene with protein product"|"20p11.23"|610512
"AKT serine/threonine kinase 1"|"AKT1"|"gene with protein product"|"14q32.33"|164730
"killin, p53 regulated DNA replication inhibitor"|"KLLN"|"gene with protein product"|"10q23"|612105
"ribosomal protein S6 kinase A3"|"RPS6KA3"|"gene with protein product"|"Xp22.12"|300075
"coagulation factor VIII"|"F8"|"gene with protein product"|"Xq28"|300841
"GNAS complex locus"|"GNAS"|"gene with protein product"|"20q13.32"|139320
"ATPase copper transporting alpha"|"ATP7A"|"gene with protein product"|"Xq21.1"|300011
"major histocompatibility complex, class II, DQ alpha 1"|"HLA-DQA1"|"gene with protein product"|"6p21.32"|146880
"dynein cytoplasmic 2 light intermediate chain 1"|"DYNC2LI1"|"gene with protein product"|"2p21"|617083
"intraflagellar transport 80"|"IFT80"|"gene with protein product"|"3q25.33"|611177
"dynein cytoplasmic 2 heavy chain 1"|"DYNC2H1"|"gene with protein product"|"11q22.3"|603297
"tetratricopeptide repeat domain 21B"|"TTC21B"|"gene with protein product"|"2q24.3"|612014
"WD repeat domain 19"|"WDR19"|"gene with protein product"|"4p14"|608151
"intraflagellar transport 140"|"IFT140"|"gene with protein product"|"16p13.3"|614620
"dynein 2 intermediate chain 1"|"DYNC2I1"|"gene with protein product"|"7q36.3"|615462
"intraflagellar transport 172"|"IFT172"|"gene with protein product"|"2p23.3"|607386
"dynein 2 intermediate chain 2"|"DYNC2I2"|"gene with protein product"|"9q34.11"|613363
"centrosomal protein 120"|"CEP120"|"gene with protein product"|"5q23.2"|613446
"perforin 1"|"PRF1"|"gene with protein product"|"10q22.1"|170280
"syntaxin 11"|"STX11"|"gene with protein product"|"6q24.2"|605014
"unc-13 homolog D"|"UNC13D"|"gene with protein product"|"17q25.3"|608897
"syntaxin binding protein 2"|"STXBP2"|"gene with protein product"|"19p13.2"|601717
"BCL6 corepressor"|"BCOR"|"gene with protein product"|"Xp11.4"|300485
"N-alpha-acetyltransferase 10, NatA catalytic subunit"|"NAA10"|"gene with protein product"|"Xq28"|300013
"thioredoxin domain containing 15"|"TXNDC15"|"gene with protein product"|"5q31.1"|617778
"transmembrane protein 107"|"TMEM107"|"gene with protein product"|"17p13.1"|616183
"tectonic family member 1"|"TCTN1"|"gene with protein product"|"12q24.11"|609863
"transmembrane protein 237"|"TMEM237"|"gene with protein product"|"2q33.1"|614423
"RPGR interacting protein 1"|"RPGRIP1"|"gene with protein product"|"14q11.2"|605446
"centrosomal protein 290"|"CEP290"|"gene with protein product"|"12q21.32"|610142
"transmembrane protein 67"|"TMEM67"|"gene with protein product"|"8q22.1"|609884
"MKS transition zone complex subunit 1"|"MKS1"|"gene with protein product"|"17q22"|609883
"RPGRIP1 like"|"RPGRIP1L"|"gene with protein product"|"16q12.2"|610937
"coiled-coil and C2 domain containing 2A"|"CC2D2A"|"gene with protein product"|"4p15.32"|612013
"transmembrane protein 216"|"TMEM216"|"gene with protein product"|"11q13.1"|613277
"tectonic family member 3"|"TCTN3"|"gene with protein product"|"10q24.1"|613847
"tectonic family member 2"|"TCTN2"|"gene with protein product"|"12q24.31"|613846
"B9 domain containing 1"|"B9D1"|"gene with protein product"|"17p11.2"|614144
"B9 domain containing 2"|"B9D2"|"gene with protein product"|"19q13.2"|611951
"transmembrane protein 231"|"TMEM231"|"gene with protein product"|"16q23.1"|614949
"centrosome and spindle pole associated protein 1"|"CSPP1"|"gene with protein product"|"8q13.1-q13.2"|611654
"GLI family zinc finger 1"|"GLI1"|"gene with protein product"|"12q13.3"|165220
"EvC ciliary complex subunit 1"|"EVC"|"gene with protein product"|"4p16.2"|604831
"EvC ciliary complex subunit 2"|"EVC2"|"gene with protein product"|"4p16.2"|607261
"laminin subunit alpha 2"|"LAMA2"|"gene with protein product"|"6q22.33"|156225
"ubiquitin specific peptidase 9 Y-linked"|"USP9Y"|"gene with protein product"|"Yq11.221"|400005
"deleted in azoospermia 1"|"DAZ1"|"gene with protein product"|"Yq11.223"|400003
"deleted in azoospermia 2"|"DAZ2"|"gene with protein product"|"Yq11.223"|400026
"deleted in azoospermia 3"|"DAZ3"|"gene with protein product"|"Yq11.23"|400027
"deleted in azoospermia 4"|"DAZ4"|"gene with protein product"|"Yq11.23"|400048
"DEAD-box helicase 3 Y-linked"|"DDX3Y"|"gene with protein product"|"Yq11.221"|400010
"RNA binding motif protein Y-linked family 1 member A1"|"RBMY1A1"|"gene with protein product"|"Yq11.223"|400006
"testis specific protein Y-linked 1"|"TSPY1"|"gene with protein product"|"Yp11.2"|480100
"CD59 molecule (CD59 blood group)"|"CD59"|"gene with protein product"|"11p13"|107271
"KISS1 receptor"|"KISS1R"|"gene with protein product"|"19p13.3"|604161
"makorin ring finger protein 3"|"MKRN3"|"gene with protein product"|"15q11.2"|603856
"delta like non-canonical Notch ligand 1"|"DLK1"|"gene with protein product"|"14q32.2"|176290
"calcium voltage-gated channel subunit alpha1 A"|"CACNA1A"|"gene with protein product"|"19p13.13"|601011
"complement factor D"|"CFD"|"gene with protein product"|"19p13.3"|134350
"sulfotransferase family 2B member 1"|"SULT2B1"|"gene with protein product"|"19q13.33"|604125
"short chain dehydrogenase/reductase family 9C member 7"|"SDR9C7"|"gene with protein product"|"12q13.3"|609769
"ATP binding cassette subfamily A member 12"|"ABCA12"|"gene with protein product"|"2q35"|607800
"arachidonate 12-lipoxygenase, 12R type"|"ALOX12B"|"gene with protein product"|"17p13.1"|603741
"arachidonate lipoxygenase 3"|"ALOXE3"|"gene with protein product"|"17p13.1"|607206
"transglutaminase 1"|"TGM1"|"gene with protein product"|"14q12"|190195
"cytochrome P450 family 4 subfamily F member 22"|"CYP4F22"|"gene with protein product"|"19p13.12"|611495
"NIPA like domain containing 4"|"NIPAL4"|"gene with protein product"|"5q33.3"|609383
"lipase family member N"|"LIPN"|"gene with protein product"|"10q23.31"|613924
"coagulation factor IX"|"F9"|"gene with protein product"|"Xq27.1"|300746
"signal transducing adaptor family member 1"|"STAP1"|"gene with protein product"|"4q13.2"|604298
"apolipoprotein B"|"APOB"|"gene with protein product"|"2p24.1"|107730
"apolipoprotein E"|"APOE"|"gene with protein product"|"19q13.32"|107741
"low density lipoprotein receptor"|"LDLR"|"gene with protein product"|"19p13.2"|606945
"proprotein convertase subtilisin/kexin type 9"|"PCSK9"|"gene with protein product"|"1p32.3"|607786
"lipase A, lysosomal acid type"|"LIPA"|"gene with protein product"|"10q23.31"|613497
"adaptor related protein complex 3 subunit delta 1"|"AP3D1"|"gene with protein product"|"19p13.3"|607246
"actin alpha 1, skeletal muscle"|"ACTA1"|"gene with protein product"|"1q42.13"|102610
"nebulin"|"NEB"|"gene with protein product"|"2q23.3"|161650
"kelch like family member 40"|"KLHL40"|"gene with protein product"|"3p22.1"|615340
"kelch like family member 41"|"KLHL41"|"gene with protein product"|"2q31.1"|607701
"leiomodin 3"|"LMOD3"|"gene with protein product"|"3p14.1"|616112
"tropomyosin 3"|"TPM3"|"gene with protein product"|"1q21.3"|191030
"cofilin 2"|"CFL2"|"gene with protein product"|"14q13.1"|601443
"tropomyosin 2"|"TPM2"|"gene with protein product"|"9p13.3"|190990
"myopalladin"|"MYPN"|"gene with protein product"|"10q21.3"|608517
"kelch repeat and BTB domain containing 13"|"KBTBD13"|"gene with protein product"|"15q22.31"|613727
"filamin C"|"FLNC"|"gene with protein product"|"7q32.1"|102565
"spastic paraplegia 34 (autosomal dominant)"|"SPG34"|"Disorder-associated locus"|"reserved"|
"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"|"PLOD2"|"gene with protein product"|"3q24"|601865
"FKBP prolyl isomerase 10"|"FKBP10"|"gene with protein product"|"17q21.2"|607063
"RAB39B, member RAS oncogene family"|"RAB39B"|"gene with protein product"|"Xq28"|300774
"engrailed homeobox 2"|"EN2"|"gene with protein product"|"7q36.3"|131310
"SH3 and multiple ankyrin repeat domains 3"|"SHANK3"|"gene with protein product"|"22q13.33"|606230
"neuroligin 3"|"NLGN3"|"gene with protein product"|"Xq13.1"|300336
"neuroligin 4 X-linked"|"NLGN4X"|"gene with protein product"|"Xp22.32-p22.31"|300427
"MET proto-oncogene, receptor tyrosine kinase"|"MET"|"gene with protein product"|"7q31"|164860
"activator of transcription and developmental regulator AUTS2"|"AUTS2"|"gene with protein product"|"7q11.22"|607270
"gamma-aminobutyric acid type A receptor subunit beta3"|"GABRB3"|"gene with protein product"|"15q12"|137192
"neurexin 1"|"NRXN1"|"gene with protein product"|"2p16.3"|600565
"eukaryotic translation initiation factor 4E"|"EIF4E"|"gene with protein product"|"4q23"|133440
"solute carrier family 9 member A9"|"SLC9A9"|"gene with protein product"|"3q24"|608396
"chromodomain helicase DNA binding protein 8"|"CHD8"|"gene with protein product"|"14q11.2"|610528
"SH3 and multiple ankyrin repeat domains 2"|"SHANK2"|"gene with protein product"|"11q13.3-q13.4"|603290
"patched domain containing 1"|"PTCHD1"|"gene with protein product"|"Xp22.11"|300828
"spastic paraplegia 37 (autosomal dominant)"|"SPG37"|"Disorder-associated locus"|"8p21.2-q13.3"|
"karyopherin subunit alpha 3"|"KPNA3"|"gene with protein product"|"13q14.2"|601892
"spastic paraplegia 38 (autosomal dominant, Silver syndrome)"|"SPG38"|"Disorder-associated locus"|"4p16-p15"|
"spastic paraplegia 32 (autosomal recessive)"|"SPG32"|"Disorder-associated locus"|"14q12-q21"|
"fatty acid 2-hydroxylase"|"FA2H"|"gene with protein product"|"16q23.1"|611026
"UDP glucuronosyltransferase family 1 member A1"|"UGT1A1"|"gene with protein product"|"2q37.1"|191740
"RNA polymerase I subunit B"|"POLR1B"|"gene with protein product"|"2q14.1"|602000
"treacle ribosome biogenesis factor 1"|"TCOF1"|"gene with protein product"|"5q32-q33.1"|606847
"RNA polymerase I and III subunit D"|"POLR1D"|"gene with protein product"|"13q12.2"|613715
"RNA polymerase I and III subunit C"|"POLR1C"|"gene with protein product"|"6p21.1"|610060
"cystatin B"|"CSTB"|"gene with protein product"|"21q22.3"|601145
"prickle planar cell polarity protein 1"|"PRICKLE1"|"gene with protein product"|"12q12"|608500
"structural maintenance of chromosomes 1A"|"SMC1A"|"gene with protein product"|"Xp11.22"|300040
"NIPBL cohesin loading factor"|"NIPBL"|"gene with protein product"|"5p13.2"|608667
"structural maintenance of chromosomes 3"|"SMC3"|"gene with protein product"|"10q25.2"|606062
"histone deacetylase 8"|"HDAC8"|"gene with protein product"|"Xq13.1"|300269
"RAD21 cohesin complex component"|"RAD21"|"gene with protein product"|"8q24.11"|606462
"bromodomain containing 4"|"BRD4"|"gene with protein product"|"19p13.12"|608749
"cytokine receptor like factor 1"|"CRLF1"|"gene with protein product"|"19p12"|604237
"nitric oxide synthase 1"|"NOS1"|"gene with protein product"|"12q24.22"|163731
"non-homologous end joining factor 1"|"NHEJ1"|"gene with protein product"|"2q35"|611290
"interleukin 2 receptor subunit alpha"|"IL2RA"|"gene with protein product"|"10p15.1"|147730
"forkhead box N1"|"FOXN1"|"gene with protein product"|"17q11.2"|600838
"CD3 gamma subunit of T-cell receptor complex"|"CD3G"|"gene with protein product"|"11q23.3"|186740
"CD8a molecule"|"CD8A"|"gene with protein product"|"2p11.2"|186910
"BRCA1 DNA repair associated"|"BRCA1"|"gene with protein product"|"17q21.31"|113705
"steroid 5 alpha-reductase 2"|"SRD5A2"|"gene with protein product"|"2p23.1"|607306
"triosephosphate isomerase 1"|"TPI1"|"gene with protein product"|"12p13.31"|190450
"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2"|"ATP2A2"|"gene with protein product"|"12q24.11"|108740
"lamin A/C"|"LMNA"|"gene with protein product"|"1q22"|150330
"AT-rich interaction domain 2"|"ARID2"|"gene with protein product"|"12q12"|609539
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"|"SMARCB1"|"gene with protein product"|"22q11.23"|601607
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"|"SMARCA4"|"gene with protein product"|"19p13.2"|603254
"AT-rich interaction domain 1B"|"ARID1B"|"gene with protein product"|"6q25.3"|614556
"AT-rich interaction domain 1A"|"ARID1A"|"gene with protein product"|"1p36.11"|603024
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"|"SMARCE1"|"gene with protein product"|"17q21.2"|603111
"SRY-box transcription factor 11"|"SOX11"|"gene with protein product"|"2p25.2"|600898
"SRY-box transcription factor 4"|"SOX4"|"gene with protein product"|"6p22.3"|184430
"double PHD fingers 2"|"DPF2"|"gene with protein product"|"11q13.1"|601671
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"|"SMARCD1"|"gene with protein product"|"12q13.12"|601735
